epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.748,1.47168,1.73513,1.49901,0.1393,0.52628,0.16297,0.07636,1.70001,4.6965,1.91422,0.000549755,0.000549755,0.000549755
2,615.34,1.51007,1.61918,1.50861,0.14944,0.44773,0.162,0.07122,2.0017,2.74592,2.15975,0.00109448,0.00109448,0.00109448
3,1040.21,1.49747,1.54641,1.52304,0.43911,0.35586,0.33394,0.18222,2.17447,3.56053,2.63659,0.0016282,0.0016282,0.0016282
4,1405.03,1.51471,1.5519,1.53358,0.35973,0.54685,0.4489,0.29115,1.84383,1.6938,2.05296,0.00161749,0.00161749,0.00161749
5,1921.68,1.55703,1.47802,1.5582,0.45083,0.61364,0.56107,0.33827,1.7468,2.0596,1.84369,0.00160099,0.00160099,0.00160099
6,2362.69,1.43692,1.40305,1.49747,0.52616,0.47463,0.51248,0.35681,1.67313,1.5738,1.73735,0.00158448,0.00158448,0.00158448
7,2723.48,1.46743,1.47504,1.55001,0.62686,0.58409,0.62089,0.41205,1.592,1.48231,1.72639,0.00156798,0.00156798,0.00156798
8,3158.25,1.43247,1.32618,1.4785,0.55623,0.73261,0.61481,0.38875,1.61173,1.40141,1.68432,0.00155148,0.00155148,0.00155148
9,3437.75,1.403,1.25298,1.48181,0.43116,0.67955,0.52675,0.33418,1.5526,1.73558,1.67621,0.00153497,0.00153497,0.00153497
10,3887.37,1.4017,1.25474,1.45585,0.40027,0.65563,0.48597,0.30075,1.63173,1.45789,1.87344,0.00151847,0.00151847,0.00151847
11,4366.22,1.38724,1.2209,1.46072,0.50992,0.6032,0.62626,0.3896,1.52985,1.40545,1.6523,0.00150197,0.00150197,0.00150197
12,4728.46,1.4006,1.19812,1.47981,0.55059,0.63355,0.60506,0.38418,1.57846,1.40417,1.67424,0.00148546,0.00148546,0.00148546
13,5242.64,1.36778,1.2031,1.45365,0.66495,0.75455,0.70725,0.46519,1.4958,1.31714,1.61294,0.00146896,0.00146896,0.00146896
14,5659.48,1.37675,1.16848,1.46796,0.70819,0.75455,0.77647,0.50624,1.43917,1.10419,1.57543,0.00145246,0.00145246,0.00145246
15,6116.53,1.36595,1.14734,1.4301,0.77102,0.68864,0.73688,0.47286,1.49988,1.24537,1.61911,0.00143595,0.00143595,0.00143595
16,6489.23,1.36792,1.10622,1.43032,0.55739,0.70455,0.66833,0.43448,1.53802,1.31656,1.64568,0.00141945,0.00141945,0.00141945
17,6802.31,1.34179,1.09452,1.42056,0.51939,0.63864,0.56637,0.36534,1.67533,1.55722,1.74755,0.00140295,0.00140295,0.00140295
18,7106.35,1.34649,1.07223,1.40232,0.755,0.85,0.82454,0.51901,1.55911,1.03222,1.65901,0.00138644,0.00138644,0.00138644
19,7436.85,1.33445,1.06444,1.41547,0.67476,0.72955,0.7479,0.47893,1.50784,1.20626,1.61361,0.00136994,0.00136994,0.00136994
20,7915.43,1.29624,1.01349,1.38402,0.65015,0.825,0.77943,0.47512,1.55839,1.10764,1.61638,0.00135344,0.00135344,0.00135344
21,8223.57,1.30971,1.01451,1.40951,0.84377,0.60455,0.76094,0.46893,1.58221,1.1091,1.63802,0.00133693,0.00133693,0.00133693
22,8729.25,1.33647,1.05386,1.42664,0.63674,0.77289,0.70484,0.42862,1.51266,1.07813,1.63727,0.00132043,0.00132043,0.00132043
23,9017.36,1.32516,1.0331,1.42019,0.71585,0.79428,0.84147,0.52355,1.49853,1.01269,1.61027,0.00130393,0.00130393,0.00130393
24,9283.71,1.28461,0.97126,1.37703,0.61243,0.825,0.71757,0.45869,1.49235,1.07959,1.6307,0.00128742,0.00128742,0.00128742
25,9559.5,1.30287,0.98867,1.3917,0.83906,0.78409,0.84513,0.48562,1.55002,1.09401,1.63285,0.00127092,0.00127092,0.00127092
26,10011.6,1.27606,1.00706,1.39416,0.77764,0.80338,0.78456,0.46638,1.45594,1.11097,1.58809,0.00125442,0.00125442,0.00125442
27,10288.8,1.25527,0.96823,1.3686,0.80922,0.73864,0.82116,0.51985,1.51094,1.03254,1.65031,0.00123791,0.00123791,0.00123791
28,10713.8,1.22561,0.93434,1.33879,0.87986,0.76071,0.87246,0.54313,1.48027,0.97346,1.58302,0.00122141,0.00122141,0.00122141
29,11183.6,1.26384,0.9474,1.3488,0.91494,0.76646,0.88993,0.58972,1.37107,0.90102,1.48599,0.00120491,0.00120491,0.00120491
30,11562.5,1.26266,0.97596,1.39206,0.69515,0.77853,0.79302,0.49843,1.47963,1.06092,1.54429,0.0011884,0.0011884,0.0011884
31,11975,1.21723,0.89117,1.35138,0.80067,0.87179,0.87959,0.55051,1.45044,0.87981,1.5615,0.0011719,0.0011719,0.0011719
32,12428.9,1.22226,0.89076,1.34306,0.73558,0.77814,0.78216,0.5031,1.50045,1.05416,1.59145,0.0011554,0.0011554,0.0011554
33,12880.9,1.22262,0.89573,1.35029,0.6382,0.825,0.80753,0.51198,1.48059,1.01523,1.60663,0.00113889,0.00113889,0.00113889
34,13349.4,1.23219,0.8881,1.35973,0.86714,0.86339,0.90266,0.57291,1.43523,0.84595,1.53304,0.00112239,0.00112239,0.00112239
35,13886.2,1.218,0.86865,1.34508,0.69266,0.875,0.84317,0.55722,1.38581,0.81224,1.49054,0.00110589,0.00110589,0.00110589
36,14303.3,1.21259,0.84173,1.32624,0.7968,0.82955,0.85848,0.5467,1.47014,0.87265,1.54845,0.00108938,0.00108938,0.00108938
37,14691.3,1.20084,0.85951,1.32163,0.75227,0.825,0.87506,0.55829,1.35093,0.93604,1.52054,0.00107288,0.00107288,0.00107288
38,15068.5,1.20359,0.8628,1.3024,0.70929,0.83785,0.80891,0.53577,1.38701,0.94839,1.50987,0.00105638,0.00105638,0.00105638
39,15570.8,1.18673,0.83639,1.32745,0.90447,0.91184,0.93025,0.58304,1.48362,0.85479,1.57193,0.00103987,0.00103987,0.00103987
40,15953,1.19697,0.86764,1.35202,0.73047,0.825,0.87331,0.54257,1.48543,0.97557,1.58703,0.00102337,0.00102337,0.00102337
41,16361.7,1.1878,0.85299,1.3076,0.8568,0.85342,0.92202,0.5981,1.37922,0.81811,1.49804,0.00100687,0.00100687,0.00100687
42,16663.5,1.21937,0.83495,1.32996,0.84261,0.87868,0.8992,0.60386,1.3133,0.78375,1.44311,0.000990365,0.000990365,0.000990365
43,16954.6,1.16965,0.81001,1.29725,0.93058,0.83654,0.92251,0.6194,1.33327,0.76994,1.48887,0.000973861,0.000973861,0.000973861
44,17424,1.15041,0.77849,1.28985,0.8101,0.9,0.91035,0.62939,1.29413,0.75432,1.47809,0.000957358,0.000957358,0.000957358
45,17809.5,1.16734,0.80784,1.30709,0.87031,0.9,0.9393,0.62226,1.35833,0.72605,1.49827,0.000940855,0.000940855,0.000940855
46,18098.7,1.13935,0.79222,1.27745,0.72613,0.9167,0.8621,0.54325,1.39788,0.87487,1.51159,0.000924352,0.000924352,0.000924352
47,18384,1.12272,0.78287,1.29189,0.80358,0.87663,0.93424,0.61274,1.3205,0.75079,1.45971,0.000907848,0.000907848,0.000907848
48,18842.4,1.12876,0.76931,1.2941,0.78962,0.9,0.93096,0.62546,1.31811,0.76682,1.49353,0.000891345,0.000891345,0.000891345
49,19164.3,1.1504,0.75982,1.29206,0.90835,0.875,0.91127,0.63906,1.28848,0.68659,1.45922,0.000874842,0.000874842,0.000874842
50,19390.9,1.14166,0.76842,1.2885,0.81803,0.91023,0.91779,0.6252,1.34065,0.72961,1.48299,0.000858338,0.000858338,0.000858338
51,19816.4,1.14986,0.74328,1.27477,0.87044,0.9,0.88039,0.60816,1.28934,0.69102,1.45626,0.000841835,0.000841835,0.000841835
52,20274.2,1.13001,0.75723,1.29404,0.94776,0.92551,0.93654,0.67849,1.21093,0.62283,1.38181,0.000825332,0.000825332,0.000825332
53,20560.9,1.14243,0.76785,1.32391,0.80427,0.925,0.93909,0.69045,1.17604,0.64706,1.40391,0.000808828,0.000808828,0.000808828
54,21050.4,1.11589,0.72852,1.28656,0.8658,0.8,0.89888,0.60888,1.31869,0.70659,1.47254,0.000792325,0.000792325,0.000792325
55,21490.4,1.11291,0.72386,1.26036,0.90979,0.825,0.91865,0.63936,1.2942,0.69118,1.45022,0.000775822,0.000775822,0.000775822
56,21847.9,1.0892,0.69927,1.23362,0.89964,0.875,0.93688,0.64098,1.29129,0.63068,1.43304,0.000759318,0.000759318,0.000759318
57,22181.4,1.10123,0.7273,1.27084,0.93973,0.91802,0.96449,0.64078,1.26201,0.65196,1.39564,0.000742815,0.000742815,0.000742815
58,22418.8,1.0999,0.6966,1.26808,0.90228,0.95,0.96782,0.68285,1.21617,0.62032,1.35901,0.000726312,0.000726312,0.000726312
59,22759.5,1.08515,0.70671,1.26963,0.87531,0.875,0.9574,0.70961,1.13815,0.64218,1.34352,0.000709809,0.000709809,0.000709809
60,23197,1.08544,0.67411,1.24025,0.95381,0.925,0.97386,0.69824,1.1586,0.59831,1.3447,0.000693305,0.000693305,0.000693305
61,23569.2,1.08662,0.67518,1.23386,0.97249,0.89921,0.96847,0.69529,1.10448,0.62595,1.3002,0.000676802,0.000676802,0.000676802
62,24023.5,1.0824,0.68357,1.25281,0.92952,0.92783,0.96105,0.70947,1.10068,0.57357,1.30758,0.000660299,0.000660299,0.000660299
63,24482.3,1.07156,0.67357,1.2232,0.8811,0.975,0.97156,0.69026,1.1047,0.592,1.30206,0.000643795,0.000643795,0.000643795
64,24945.2,1.05698,0.66804,1.24303,0.92628,0.95658,0.95829,0.67167,1.13518,0.60597,1.33013,0.000627292,0.000627292,0.000627292
65,25290.5,1.09647,0.6776,1.25049,0.95076,0.92434,0.96046,0.69768,1.09964,0.57821,1.29738,0.000610789,0.000610789,0.000610789
66,25785.7,1.05794,0.67006,1.25053,0.97776,0.91106,0.96351,0.72477,1.06072,0.55618,1.2818,0.000594286,0.000594286,0.000594286
67,26125.1,1.03595,0.64942,1.21745,1,0.91054,0.98248,0.71367,1.03193,0.55561,1.25636,0.000577782,0.000577782,0.000577782
68,26402.6,1.05753,0.65574,1.23846,0.95143,0.96026,0.98804,0.71231,1.07207,0.53924,1.27947,0.000561279,0.000561279,0.000561279
69,26851.9,1.05244,0.63317,1.21971,0.92644,0.975,0.98528,0.72126,1.10922,0.56319,1.2838,0.000544776,0.000544776,0.000544776
70,27209.4,1.03538,0.64201,1.21589,0.92816,0.975,0.98223,0.74393,1.00976,0.50053,1.24946,0.000528272,0.000528272,0.000528272
71,27610.6,1.02832,0.61802,1.22015,0.94479,0.95,0.97958,0.73202,1.08776,0.52631,1.28352,0.000511769,0.000511769,0.000511769
72,27863.8,1.0214,0.62344,1.21692,0.97614,0.91697,0.9716,0.72606,1.06873,0.5152,1.28218,0.000495266,0.000495266,0.000495266
73,28275,1.01736,0.63012,1.19891,0.97945,0.94412,0.97334,0.72454,1.05271,0.52658,1.26623,0.000478762,0.000478762,0.000478762
74,28671,1.02104,0.63586,1.21108,0.91579,0.95,0.98178,0.72441,1.03572,0.53223,1.25485,0.000462259,0.000462259,0.000462259
75,29020.8,1.01488,0.62168,1.18626,0.88517,0.9641,0.96149,0.70801,1.07993,0.54466,1.27702,0.000445756,0.000445756,0.000445756
